"","X","PID","Date","Time","PosSrc","Latitude","Longitude"
"1",1,137125,"Wednesday, Month 1, day No.4","12:03:18 AM","GPS",0.0849243566657734,-0.0115081380577067
"2",2,137125,"Wednesday, Month 1, day No.4","12:49:42 AM","GPS",0.084970356665778,-0.0113981380577144
"3",3,137125,"Wednesday, Month 1, day No.4","1:26:35 AM","GPS",0.0849673566657785,-0.0114141380577166
"4",4,137125,"Wednesday, Month 1, day No.4","1:49:44 AM","GPS",0.0850873566657739,-0.011175138057709
"5",5,137125,"Wednesday, Month 1, day No.4","2:19:33 AM","GPS",0.0849543566657758,-0.0114531380577176
"6",6,137125,"Wednesday, Month 1, day No.4","2:24:29 AM","GPS",0.084974356665775,-0.011442138057717
"7",7,137125,"Wednesday, Month 1, day No.4","2:30:50 AM","GPS",0.084931356665777,-0.0114161380577116
"8",8,137125,"Wednesday, Month 1, day No.4","2:31:54 AM","GPS",0.0848763566657738,-0.0115231380577114
"9",9,137125,"Wednesday, Month 1, day No.4","2:49:46 AM","GPS",0.0849093566657757,-0.0113091380577117
"10",10,137125,"Wednesday, Month 1, day No.4","3:49:50 AM","GPS",0.0849853566657757,-0.0115051380577142
"11",11,137125,"Wednesday, Month 1, day No.4","4:45:47 AM","GPS",0.0849233566657759,-0.0115031380577193
"12",12,137125,"Wednesday, Month 1, day No.4","4:47:42 AM","GPS",0.0849553566657733,-0.0113861380577163
"13",13,137125,"Wednesday, Month 1, day No.4","4:49:52 AM","GPS",0.084968356665776,-0.0113041380577101
"14",14,137125,"Wednesday, Month 1, day No.4","5:49:54 AM","GPS",0.0850363566657748,-0.0112691380577132
"15",15,137125,"Wednesday, Month 1, day No.4","5:57:23 AM","GPS",0.0849753566657796,-0.0113521380577168
"16",16,137125,"Wednesday, Month 1, day No.4","5:58:30 AM","GPS",0.0849393566657781,-0.0114191380577182
"17",17,137125,"Wednesday, Month 1, day No.4","6:11:21 AM","GPS",0.0849513566657762,-0.0114001380577093
"18",18,137125,"Wednesday, Month 1, day No.4","6:21:23 AM","GPS",0.084896356665773,-0.0115571380577109
"19",19,137125,"Wednesday, Month 1, day No.4","6:22:27 AM","GPS",0.085007356665777,-0.0114541380577151
"20",20,137125,"Wednesday, Month 1, day No.4","6:23:33 AM","GPS",0.0850493566657775,-0.0114731380577098
"21",21,137125,"Wednesday, Month 1, day No.4","6:24:34 AM","GPS",0.085046356665778,-0.0114791380577088
"22",22,137125,"Wednesday, Month 1, day No.4","6:25:36 AM","GPS",0.0850053566657749,-0.0114671380577107
"23",23,137125,"Wednesday, Month 1, day No.4","6:26:40 AM","GPS",0.0850083566657744,-0.0114661380577132
"24",24,137125,"Wednesday, Month 1, day No.4","6:27:43 AM","GPS",0.0850863566657765,-0.0114141380577166
"25",25,137125,"Wednesday, Month 1, day No.4","6:28:48 AM","GPS",0.0850293566657783,-0.0114311380577163
"26",26,137125,"Wednesday, Month 1, day No.4","6:29:49 AM","GPS",0.0850553566657766,-0.0114601380577142
